League;Season;Date;Home;Away;FT_Goals_H;FT_Goals_A;FT_Odd_H;FT_Odd_D;FT_Odd_A;FT_Odd_Over25;FT_Result;Profit_Back_H;Profit_Back_D;Profit_Back_A;Profit_Lay_H;Profit_Lay_D;Profit_Lay_A;p_H;p_D;p_A;p_Over;p_H__p_D;p_H__p_A;p_D__p_A;p_D__p_Over;Media_SG_H;Media_SG_A;DesvPad_SG_H;DesvPad_SG_A;CV_SG_H;CV_SG_A;Media_Ptos_H;Media_Ptos_A;DesvPad_Ptos_H;DesvPad_Ptos_A;CV_Ptos_H;CV_Ptos_A;Media_VG_H;Media_VG_A;DesvPad_VG_H;DesvPad_VG_A;CV_VG_H;CV_VG_A;Media_CG_H;Media_CG_A;DesvPad_CG_H;DesvPad_CG_A;CV_CG_H;CV_CG_A;CV_HDA;CV_HD;CV_HA;CV_DA;CV_DO;Media_Odd_H;DesvPad_Odd_H;CV_Odd_H;Media_Odd_A;DesvPad_Odd_A;CV_Odd_A;FT_Odd_HA_DNB_H;FT_Odd_HA_DNB_A;Profit_HA_0_H;Profit_HA_0_A
PORTUGAL - LIGA PORTUGAL 2;2021/2022;08/11/2021;Nacional;Chaves;1;1;2,6;3;2,9;2,1;D;-1;2;-1;0,53;-1;0,45;0,3846;0,3333;0,3448;0,4762;1,1538;1,1154;0,9667;0,7;0,8;-0,6;1,4757;1,1738;1,8447;-1,9563;2;0,9;1,3333;1,1972;0,6667;1,3302;0,4155;0,4307;0,228;0,222;0,5486;0,5155;0,3259;0,3119;0,1227;0,1159;0,3766;0,3718;0,062;0,0714;0,0545;0,0169;0,1765;1,818;0,375;0,2063;3,087;1,015;0,3288;1,85;2;0;0
EGYPT - PREMIER LEAGUE;2021/2022;01/11/2021;Al Masry;Smouha;0;0;2,55;3;2,65;2,07;D;-1;2;-1;0,55;-1;0,52;0,3922;0,3333;0,3774;0,4831;1,1765;1,0392;0,8833;0,69;0;0,6;1,2472;1,1738;1;1,9563;1,4;1,7;1,4298;1,1595;1,0213;0,6821;0,3621;0,6569;0,3085;0,579;0,8519;0,8814;0,3476;0,257;0,1571;0,157;0,4522;0,6111;0,068;0,0811;0,0192;0,0619;0,1834;2,685;1,751;0,6522;3,932;2,8114;0,715;1,84;1,92;0;0
COLOMBIA - PRIMERA A;2020;03/03/2020;Millonarios;Santa Fe;0;0;2,9;3;2,6;2,7;D;-1;2;-1;0,45;-1;0,53;0,3448;0,3333;0,3846;0,3704;1,0345;0,8966;0,8667;0,9;0,1;0,6;1,1005;1,7764;11,005;2,9606;1,7;1,5;1,4181;1,354;0,8342;0,9027;0,3562;0,4683;0,2057;0,5577;0,5775;1,191;0,3299;0,1674;0,1336;0,0641;0,4051;0,3829;0,062;0,0169;0,0545;0,0714;0,0526;1,829;0,3546;0,1939;3,15;0,8413;0,2671;2,02;1,82;0;0
SOUTH KOREA - K LEAGUE 1;2021;30/10/2021;Seongnam;Pohang;1;0;2,87;3;2,5;2,7;H;1,91;-1;-1;-1;0,43;0,57;0,3484;0,3333;0,4;0,3704;1,0453;0,8711;0,8333;0,9;-0,3;-0,2;1,6364;1,0328;-5,4546;-5,164;1,2;1,2;1,3166;1,3166;1,0971;1,0971;0,4423;0,4251;0,3901;0,4695;0,882;1,1044;0,2501;0,2659;0,1155;0,1695;0,4617;0,6373;0,0792;0,0221;0,0689;0,0909;0,0526;3,492;0,9588;0,2746;2,934;1,0077;0,3435;2,02;1,77;1,02;-1
ARGENTINA - LIGA PROFESIONAL;2021;25/10/2021;Lanus;Talleres Cordoba;3;3;2,7;3;2,55;2,13;D;-1;2;-1;0,5;-1;0,55;0,3704;0,3333;0,3922;0,4695;1,1111;0,9444;0,85;0,71;0,1;-0,3;1,4491;1,3375;14,4914;-4,4583;1,4;1,3;1,1738;1,4944;0,8384;1,1496;0,3605;0,4438;0,2047;0,3557;0,5679;0,8015;0,3931;0,2439;0,1269;0,1007;0,3227;0,4128;0,0665;0,0526;0,0286;0,0811;0,1696;2,347;0,9494;0,4045;2,685;0,3881;0,1445;1,98;1,88;0;0
JAPAN - J2 LEAGUE;2021;24/10/2021;Mito;Okayama;1;1;2,75;3;2,5;2,35;D;-1;2;-1;0,49;-1;0,57;0,3636;0,3333;0,4;0,4255;1,0909;0,9091;0,8333;0,7833;0,1;0,2;2,0248;1,0328;20,2485;5,164;1,4;1,5;1,4298;1,0801;1,0213;0,7201;0,3613;0,3819;0,5741;0,3979;1,5892;1,0419;0,269;0,2422;0,1267;0,1052;0,471;0,4344;0,0745;0,0435;0,0476;0,0909;0,1215;2,472;0,8025;0,3246;3,395;1,1172;0,3291;2,02;1,83;0;0
FRANCE - LIGUE 2;2021/2022;23/10/2021;Guingamp;Nimes;3;1;2,45;3;2,9;2,15;H;1,5;-1;-1;-1;0,43;0,45;0,4082;0,3333;0,3448;0,4651;1,2245;1,1837;0,9667;0,7167;0,1;0,2;1,1005;1,8738;11,005;9,369;1,4;1,2;1,1738;1,3166;0,8384;1,0971;0,2791;0,5857;0,1937;0,4176;0,6939;0,7129;0,3937;0,2145;0,1272;0,0836;0,323;0,3895;0,0909;0,1009;0,0841;0,0169;0,165;2,36;0,6904;0,2925;4,168;2,866;0,6876;1,77;2,1;0,77;-1
MONTENEGRO - PRVA CRNOGORSKA LIGA;2021/2022;23/10/2021;FK Podgorica;Mornar Bar;1;1;2,54;3;2,77;2,5;D;-1;2;-1;0,55;-1;0,48;0,3937;0,3333;0,361;0,4;1,1811;1,0906;0,9233;0,8333;-0,6;0,4;1,5776;0,8944;-2,6294;2,2361;1,1;2;1,3703;1,4142;1,2457;0,7071;0,2749;0,4501;0,2733;0,162;0,9945;0,3599;0,3604;0,3282;0,1431;0,1398;0,3971;0,426;0,068;0,083;0,0433;0,0399;0,0909;2,408;0,8633;0,3585;3,612;1,7947;0,4969;1,83;1,98;0;0
MEXICO - LIGA MX;2021/2022;19/10/2021;Atlas;Cruz Azul;0;0;2,55;3;2,7;2,87;D;-1;2;-1;0,55;-1;0,5;0,3922;0,3333;0,3704;0,3484;1,1765;1,0588;0,9;0,9567;0,2;0,1;1,3984;0,7379;6,9921;7,3786;1,6;1,4;1,5055;1,1738;0,941;0,8384;0,2231;0,3155;0,2322;0,1898;1,0408;0,6018;0,3898;0,3697;0,1305;0,0844;0,3348;0,2284;0,0665;0,0811;0,0286;0,0526;0,0221;1,94;0,2885;0,1487;2,535;0,3916;0,1545;1,88;1,98;0;0
FRANCE - LIGUE 2;2021/2022;16/10/2021;Rodez;Sochaux;0;1;2,62;3;2,87;2,6;A;-1;-1;1,91;0,53;0,43;-1;0,3817;0,3333;0,3484;0,3846;1,145;1,0954;0,9567;0,8667;0,2;0;1,2293;1,4907;6,1464;1;1,3;1,4;0,9487;1,4298;0,7298;1,0213;0,3678;0,3597;0,2678;0,3827;0,7281;1,064;0,3233;0,1704;0,1227;0,0418;0,3797;0,2452;0,057;0,0676;0,0455;0,0221;0,0714;2,283;0,501;0,2194;3,38;2,3556;0,6969;1,85;2;-1;1
SLOVAKIA - FORTUNA LIGA;2021/2022;16/10/2021;Senica;Michalovce;1;1;2,45;3;2,63;2,14;D;-1;2;-1;0,58;-1;0,52;0,4082;0,3333;0,3802;0,4673;1,2245;1,0735;0,8767;0,7133;0;-0,4;1,2472;1,8974;1;-4,7434;1,6;0,9;1,2649;1,1972;0,7906;1,3302;0,2756;0,3417;0,2825;0,3774;1,0249;1,1043;0,4699;0,195;0,1866;0,1056;0,3972;0,5417;0,0826;0,1009;0,0354;0,0657;0,1673;2,615;1,5308;0,5854;4,67;3,2221;0,69;1,83;2,02;0;0
BOSNIA AND HERZEGOVINA - PREMIER LEAGUE;2021/2022;16/10/2021;Zeljeznicar;Tuzla City;2;1;2,56;3,09;2,66;2,31;H;1,6;-1;-1;-1;0,41;0,51;0,3906;0,3236;0,3759;0,4329;1,207;1,0391;0,8608;0,7476;0,3;0;1,4944;1,4142;4,9814;1;1,5;1,3;1,354;1,2517;0,9027;0,9628;0,3234;0,3936;0,2289;0,3473;0,7079;0,8824;0,4851;0,291;0,2302;0,1189;0,4746;0,4086;0,0791;0,0938;0,0192;0,0748;0,1444;2,145;1,1638;0,5426;3,231;1,6158;0,5001;1,86;1,94;0,86;-1
SPAIN - LALIGA2;2021/2022;04/10/2021;Girona;Almeria;1;2;2,6;3;2,8;2,05;A;-1;-1;1,84;0,53;0,43;-1;0,3846;0,3333;0,3571;0,4878;1,1538;1,0769;0,9333;0,6833;0,9;0,2;1,5951;2,044;1,7724;10,2198;2,2;1,3;1,3166;1,4944;0,5984;1,1496;0,3749;0,5226;0,3505;0,4784;0,9349;0,9154;0,3504;0,3032;0,1532;0,1923;0,4373;0,6345;0,0585;0,0714;0,037;0,0345;0,1881;2,26;0,3635;0,1608;2,605;0,9833;0,3775;1,83;2,02;-1;1,02
BRAZIL - SERIE A;2021;02/10/2021;Bragantino;Corinthians;2;2;2,8;3;2,5;2,35;D;-1;2;-1;0,47;-1;0,57;0,3571;0,3333;0,4;0,4255;1,0714;0,8929;0,8333;0,7833;0,1;0,3;0,8756;0,6749;8,756;2,2498;1,2;1,7;1,0328;1,1595;0,8607;0,6821;0,4237;0,3034;0,3306;0,2368;0,7803;0,7806;0,3766;0,3179;0,1942;0,1059;0,5157;0,3332;0,0759;0,0345;0,0566;0,0909;0,1215;2,061;0,6573;0,3189;3,095;0,6564;0,2121;2,05;1,8;0;0
BRAZIL - SERIE A;2021;02/10/2021;Cuiaba;America MG;0;2;2,8;3;2,62;2,5;A;-1;-1;1,66;0,47;0,43;-1;0,3571;0,3333;0,3817;0,4;1,0714;0,9357;0,8733;0,8333;-0,2;-0,7;1,0328;1,4181;-5,164;-2,0259;1,2;0,8;1,3166;0,9189;1,0971;1,1487;0,3929;0,4254;0,3255;0,5772;0,8286;1,3569;0,2753;0,2571;0,128;0,1403;0,4652;0,5454;0,0552;0,0345;0,0332;0,0676;0,0909;3,299;1,2026;0,3645;4,04;1,3727;0,3398;1,98;1,88;-1;0,88
MEXICO - LIGA MX;2021/2022;28/09/2021;Pachuca;Club America;1;1;3;3;2,5;2,25;D;-1;2;-1;0,43;-1;0,57;0,3333;0,3333;0,4;0,4444;1;0,8333;0,8333;0,75;0,7;0;1,767;1,4907;2,5243;1;1,9;1,7;1,4491;1,4181;0,7627;0,8342;0,4759;0,4539;0,4779;0,3679;1,0041;0,8104;0,3636;0,3462;0,2028;0,1154;0,5578;0,3333;0,0884;0;0,0909;0,0909;0,1429;2,187;0,3075;0,1406;2,549;0,5019;0,1969;2,13;1,75;0;0
JAPAN - J1 LEAGUE;2021;25/09/2021;FC Tokyo;Urawa Reds;1;2;2,9;3;2,55;2,5;A;-1;-1;1,59;0,45;0,43;-1;0,3448;0,3333;0,3922;0,4;1,0345;0,8793;0,85;0,8333;0,2;0,4;2,1499;1,5776;10,7497;3,9441;1,4;1,5;1,4298;1,354;1,0213;0,9027;0,4345;0,413;0,3995;0,4224;0,9195;1,0229;0,2751;0,2387;0,1469;0,1021;0,5338;0,4276;0,0714;0,0169;0,0642;0,0811;0,0909;2,613;0,9003;0,3445;2,443;0,4929;0,2018;2,1;1,77;-1;0,77
ITALY - SERIE B;2021/2022;21/09/2021;Pordenone;Reggina;1;1;2,9;3;2,55;2,4;D;-1;2;-1;0,45;-1;0,55;0,3448;0,3333;0,3922;0,4167;1,0345;0,8793;0,85;0,8;0;0,6;2;1,2649;1;2,1082;1,2;1,5;1,3166;1,0801;1,0971;0,7201;0,3182;0,6693;0,3145;0,5379;0,9882;0,8037;0,2808;0,1924;0,1347;0,0896;0,4796;0,4656;0,0714;0,0169;0,0642;0,0811;0,1111;2,407;0,4243;0,1763;3,495;0,8623;0,2467;2,1;1,77;0;0
COLOMBIA - PRIMERA A;2021;19/09/2021;Aguilas;Bucaramanga;3;0;2,45;3;2,8;2,35;H;1,5;-1;-1;-1;0,43;0,47;0,4082;0,3333;0,3571;0,4255;1,2245;1,1429;0,9333;0,7833;-0,9;0,4;1,1972;1,075;-1,3302;2,6874;0,6;1,6;0,9661;1,2649;1,6102;0,7906;0,2187;0,6824;0,2116;0,486;0,9677;0,7122;0,3879;0,1692;0,1374;0,0825;0,3543;0,4874;0,0852;0,1009;0,0667;0,0345;0,1215;2,564;0,6171;0,2407;4,467;1,6612;0,3719;1,8;2;0,8;-1
PORTUGAL - LIGA PORTUGAL 2;2021/2022;17/09/2021;Covilha;Penafiel;0;0;2,55;3;3;2,4;D;-1;2;-1;0,55;-1;0,43;0,3922;0,3333;0,3333;0,4167;1,1765;1,1765;1;0,8;0;0,2;1,0541;1,2293;1;6,1464;1,5;1,7;1,354;1,4181;0,9027;0,8342;0,3485;0,4718;0,3132;0,3429;0,8987;0,7268;0,3073;0,2707;0,1142;0,1478;0,3717;0,546;0,0786;0,0811;0,0811;0;0,1111;2,457;0,347;0,1412;3,258;0,8247;0,2531;1,83;2,02;0;0
FRANCE - LIGUE 2;2021/2022;11/09/2021;Dijon;Bastia;2;1;2,87;3;2,62;2,25;H;1,91;-1;-1;-1;0,43;0,53;0,3484;0,3333;0,3817;0,4444;1,0453;0,9129;0,8733;0,75;-1,9;0,4;1,912;1,5055;-1,0063;3,7639;0,4;1,7;0,9661;1,4181;2,4152;0,8342;0,3994;0,4078;0,4437;0,3989;1,1109;0,9782;0,2506;0,3085;0,118;0,1419;0,4707;0,4599;0,057;0,0221;0,0455;0,0676;0,1429;4,883;3,2624;0,6681;2,671;0,9538;0,3571;2;1,85;1;-1
ENGLAND - LEAGUE TWO;2021/2022;11/09/2021;Sutton;Stevenage;2;1;2,62;3;3;2,6;H;1,66;-1;-1;-1;0,43;0,43;0,3817;0,3333;0,3333;0,3846;1,145;1,145;1;0,8667;0,8;0;1,3166;1,4142;1,6457;1;2;1,5;1,3333;1,354;0,6667;0,9027;0,3204;0,2977;0,2798;0,3054;0,8733;1,0261;0,3665;0,2926;0,1929;0,1347;0,5264;0,4603;0,0652;0,0676;0,0676;0;0,0714;1,781;0,4727;0,2654;3,347;1,1102;0,3317;1,87;2,06;0,87;-1
MEXICO - LIGA MX;2021/2022;10/09/2021;Juarez;Cruz Azul;2;1;3;3;2,5;2,7;H;2,04;-1;-1;-1;0,43;0,57;0,3333;0,3333;0,4;0,3704;1;0,8333;0,8333;0,9;-0,7;0,4;1,8288;0,6992;-2,6125;1,748;1,1;1,9;1,3703;1,1972;1,2457;0,6301;0,4576;0,2992;0,2801;0,1998;0,612;0,6678;0,3172;0,4027;0,1201;0,135;0,3787;0,3353;0,0884;0;0,0909;0,0909;0,0526;3,175;0,9599;0,3023;2,446;0,5479;0,224;2,1;1,77;1,1;-1
SOUTH KOREA - K LEAGUE 2;2021;05/09/2021;Gyeongnam;Jeonnam;0;2;2,6;3;2,7;2,5;A;-1;-1;1,74;0,53;0,43;-1;0,3846;0,3333;0,3704;0,4;1,1538;1,0385;0,9;0,8333;0,4;0,6;1,5055;0,6992;3,7639;1,1653;1,7;2;1,4181;1,0541;0,8342;0,527;0,4771;0,4044;0,3523;0,2163;0,7385;0,5349;0,3224;0,3385;0,1501;0,098;0,4655;0,2895;0,0596;0,0714;0,0189;0,0526;0,0909;2,202;0,4416;0,2005;2,752;0,5835;0,212;1,9;1,9;-1;0,9
BRAZIL - SERIE A;2021;04/09/2021;Cuiaba;Santos;2;1;2,55;3;2,87;2,42;H;1,59;-1;-1;-1;0,43;0,46;0,3922;0,3333;0,3484;0,4132;1,1765;1,1255;0,9567;0,8067;-0,5;-0,8;1,0801;1,2293;-2,1602;-1,5366;0,9;0,7;1,1972;0,9487;1,3302;1,3553;0,3225;0,4674;0,2748;0,5056;0,8523;1,0817;0,3389;0,2235;0,1459;0,1537;0,4306;0,6879;0,0697;0,0811;0,059;0,0221;0,107;3,099;1,3171;0,425;4,04;1,3812;0,3419;1,77;2,1;0,77;-1
COLOMBIA - PRIMERA A;2020;08/03/2020;Santa Fe;Atl. Nacional;2;2;2,6;3;2,7;2,5;D;-1;2;-1;0,53;-1;0,5;0,3846;0,3333;0,3704;0,4;1,1538;1,0385;0,9;0,8333;1;0,4;0,9428;1,5055;0,9428;3,7639;2,2;1,7;1,0328;1,4181;0,4695;0,8342;0,2847;0,3573;0,2304;0,3747;0,8094;1,0486;0,3929;0,268;0,1806;0,1652;0,4598;0,6165;0,0596;0,0714;0,0189;0,0526;0,0909;1,793;0,3924;0,2188;2,395;0,4793;0,2001;1,9;1,9;0;0
MEXICO - LIGA MX;2021/2022;28/08/2021;U.A.N.L.- Tigres;Atlas;1;1;2,5;3;3;2,7;D;-1;2;-1;0,57;-1;0,43;0,4;0,3333;0,3333;0,3704;1,2;1,2;1;0,9;0,1;0,5;1,6633;1,4337;16,6333;2,8674;1,4;1,6;1,4298;1,2649;1,0213;0,7906;0,3514;0,3911;0,2986;0,4372;0,8496;1,118;0,3947;0,2616;0,2127;0,1219;0,539;0,4659;0,0884;0,0909;0,0909;0;0,0526;1,866;0,3421;0,1833;2,833;0,7678;0,271;1,73;2,08;0;0
ROMANIA - LIGA 1;2021/2022;28/08/2021;FC Rapid Bucuresti;Univ. Craiova;1;2;2,9;3;2,45;2,4;A;-1;-1;1,5;0,45;0,43;-1;0,3448;0,3333;0,4082;0,4167;1,0345;0,8448;0,8167;0,8;0,8;-0,4;1,9322;1,5055;2,4152;-3,7639;2;1,1;1,3333;1,3703;0,6667;1,2457;0,4385;0,2378;0,3457;0,3415;0,7884;1,4359;0,3779;0,3574;0,1964;0,1789;0,5198;0,5007;0,0909;0,0169;0,0841;0,1009;0,1111;2,189;0,8668;0,396;2,502;0,9698;0,3876;2,2;1,65;-1;0,65
PORTUGAL - LIGA PORTUGAL;2021/2022;23/08/2021;Boavista;Santa Clara;2;0;2,5;3;2,9;2,6;H;1,54;-1;-1;-1;0,43;0,45;0,4;0,3333;0,3448;0,3846;1,2;1,16;0,9667;0,8667;0,3;-0,6;1,3375;1,3499;4,4583;-2,2498;1,3;0,7;1,2517;1,2517;0,9628;1,7881;0,3164;0,3838;0,3929;0,3461;1,2418;0,9018;0,3582;0,1821;0,1647;0,0863;0,4598;0,4742;0,081;0,0909;0,0741;0,0169;0,0714;2,426;0,4323;0,1782;4,66;3,0829;0,6616;1,79;2,11;0,79;-1
ROMANIA - LIGA 1;2021/2022;23/08/2021;Mioveni;U Craiova 1948;1;0;2,75;3;2,62;2,6;H;1,8;-1;-1;-1;0,43;0,53;0,3636;0,3333;0,3817;0,3846;1,0909;0,9527;0,8733;0,8667;0,6;0,2;1,9551;1,2293;3,2584;6,1464;1,4;1,4;1,1738;1,4298;0,8384;1,0213;0,23;0,5635;0,3498;0,4952;1,5208;0,8789;0,4102;0,2812;0,2566;0,1714;0,6254;0,6094;0,0555;0,0435;0,0242;0,0676;0,0714;2,47;1,0803;0,4374;3,056;1,9751;0,6463;1,88;1,93;0,88;-1
JAPAN - J2 LEAGUE;2021;21/08/2021;Okayama;Omiya Ardija;1;0;2,75;3;2,75;2,5;H;1,8;-1;-1;-1;0,43;0,49;0,3636;0,3333;0,3636;0,4;1,0909;1;0,9167;0,8333;-0,3;-0,3;1,4944;0,8233;-4,9814;-2,7442;0,9;0,9;1,4491;0,8756;1,6102;0,9729;0,2841;0,3564;0,3325;0,3639;1,1706;1,0212;0,3513;0,3543;0,1319;0,166;0,3753;0,4686;0,0404;0,0435;0;0,0435;0,0909;2,685;0,5121;0,1907;2,642;0,7128;0,2698;1,95;1,9;0,95;-1
PORTUGAL - LIGA PORTUGAL;2021/2022;16/08/2021;Boavista;Pacos Ferreira;3;0;2,8;3;2,45;2,5;H;1,84;-1;-1;-1;0,43;0,58;0,3571;0,3333;0,4082;0,4;1,0714;0,875;0,8167;0,8333;0,2;-0,6;1,1353;1,8974;5,6765;-3,1623;1,3;1,1;1,2517;1,3703;0,9628;1,2457;0,2555;0,3816;0,2619;0,4299;1,0249;1,1266;0,3746;0,1789;0,139;0,0731;0,3712;0,4085;0,0852;0,0345;0,0667;0,1009;0,0909;2,376;0,4127;0,1737;4,38;2,5628;0,5851;2,07;1,83;1,07;-1
BRAZIL - SERIE C;2021;15/08/2021;Santa Cruz;Ferroviario;0;0;2,7;3;2,5;2,63;D;-1;2;-1;0,5;-1;0,57;0,3704;0,3333;0,4;0,3802;1,1111;0,9259;0,8333;0,8767;0,7;-0,8;2,0028;1,6865;2,8611;-2,1082;1,3;0,8;1,2517;0,9189;0,9628;1,1487;0,2913;0,3911;0,2381;0,5679;0,8172;1,4521;0,3385;0,2612;0,1578;0,1447;0,4661;0,5541;0,0741;0,0526;0,0385;0,0909;0,0657;2,027;0,5842;0,2882;3,207;0,7051;0,2199;2,05;1,81;0;0
ARGENTINA - LIGA PROFESIONAL;2021;09/08/2021;Aldosivi;Defensa y Justicia;1;0;2,9;3;2,6;2,25;H;1,94;-1;-1;-1;0,43;0,53;0,3448;0,3333;0,3846;0,4444;1,0345;0,8966;0,8667;0,75;-1;0;1,5635;1,1547;-1,5635;1;0,7;1,3;1,2517;1,2517;1,7881;0,9628;0,2853;0,4553;0,3574;0,4017;1,2526;0,8822;0,2511;0,2206;0,1172;0,1049;0,4666;0,4755;0,062;0,0169;0,0545;0,0714;0,1429;3,765;1,674;0,4446;3,957;1,8745;0,4737;2,05;1,8;1,05;-1
COLOMBIA - PRIMERA A;2021;03/08/2021;Santa Fe;Atl. Nacional;0;1;2,62;3;3;2,07;A;-1;-1;2,04;0,53;0,43;-1;0,3817;0,3333;0,3333;0,4831;1,145;1,145;1;0,69;0,5;-0,2;1,1785;0,7888;2,357;-3,9441;1,6;1;1,2649;1,1547;0,7906;1,1547;0,2494;0,2865;0,2157;0,3074;0,8648;1,0729;0,3881;0,3302;0,1701;0,1281;0,4382;0,3878;0,0652;0,0676;0,0676;0;0,1834;1,792;0,5053;0,282;2,594;0,7824;0,3016;1,7;2,1;-1;1,1
ARGENTINA - LIGA PROFESIONAL;2021;19/07/2021;Central Cordoba;Banfield;1;1;2,6;3;3;2,7;D;-1;2;-1;0,53;-1;0,43;0,3846;0,3333;0,3333;0,3704;1,1538;1,1538;1;0,9;-0,3;0,3;1,4944;0,9487;-4,9814;3,1623;1,3;1,6;1,2517;1,2649;0,9628;0,7906;0,2244;0,3037;0,2401;0,2831;1,0698;0,932;0,3871;0,2695;0,1282;0,0697;0,3311;0,2586;0,069;0,0714;0,0714;0;0,0526;2,863;0,881;0,3077;3,71;1,6735;0,4511;1,83;1,98;0;0
JAPAN - J2 LEAGUE;2021;17/07/2021;Renofa Yamaguchi;Blaublitz;1;0;2,87;3;2,7;2,5;H;1,91;-1;-1;-1;0,43;0,5;0,3484;0,3333;0,3704;0,4;1,0453;0,9408;0,9;0,8333;-0,4;0,2;0,9661;1,6193;-2,4152;8,0966;0,9;1,6;1,1972;1,5055;1,3302;0,941;0,3083;0,5939;0,4172;0,3269;1,353;0,5504;0,275;0,2387;0,1519;0,1011;0,5523;0,4236;0,0434;0,0221;0,0305;0,0526;0,0909;3,525;1,1786;0,3344;3,345;0,7174;0,2145;1,98;1,88;0,98;-1
BRAZIL - SERIE A;2021;11/07/2021;Cuiaba;Ceara;2;2;2,87;3;2,62;2,87;D;-1;2;-1;0,46;-1;0,53;0,3484;0,3333;0,3817;0,3484;1,0453;0,9129;0,8733;0,9567;0,5;0,5;1,9003;1,7159;3,8006;3,4319;1,7;1,4;1,4181;1,1738;0,8342;0,8384;0,426;0,5565;0,3093;0,4948;0,7259;0,8891;0,284;0,1869;0,1509;0,0764;0,5312;0,4087;0,057;0,0221;0,0455;0,0676;0,0221;2,724;1,4599;0,5359;4,26;1,9299;0,453;1,93;1,93;0;0
BRAZIL - SERIE B;2021;16/06/2021;Ponte Preta;Cruzeiro;0;1;2,6;3;2,6;2,4;A;-1;-1;1,65;0,53;0,43;-1;0,3846;0,3333;0,3846;0,4167;1,1538;1;0,8667;0,8;0,6;0;0,9661;1,0541;1,6102;1;1,9;1,5;1,1972;1,354;0,6301;0,9027;0,4472;0,2948;0,2507;0,2779;0,5607;0,9425;0,3842;0,3892;0,1795;0,1202;0,4672;0,3088;0,0658;0,0714;0;0,0714;0,1111;2,002;0,4513;0,2254;2,49;0,4433;0,1781;1,88;1,88;-1;0,88
SPAIN - LALIGA2;2020/2021;30/05/2021;FC Cartagena SAD;Girona;1;1;2,75;3;2,75;2,25;D;-1;2;-1;0,49;-1;0,49;0,3636;0,3333;0,3636;0,4444;1,0909;1;0,9167;0,75;0,4;0,4;1,075;1,1738;2,6874;2,9345;1,9;1,6;1,1972;1,2649;0,6301;0,7906;0,4793;0,6152;0,3875;0,4222;0,8085;0,6862;0,2833;0,2451;0,164;0,1298;0,5787;0,5298;0,0404;0,0435;0;0,0435;0,1429;2,832;0,6189;0,2185;3,213;0,7265;0,2261;1,93;1,93;0;0
ROMANIA - LIGA 1;2020/2021;29/05/2021;Mioveni;FC Hermannstadt;0;0;2,8;3;2,7;2,6;D;-1;2;-1;0,47;-1;0,5;0,3571;0,3333;0,3704;0,3846;1,0714;0,9643;0,9;0,8667;0,9;-0,5;1,7288;1,1785;1,9209;-2,357;1,7;1;1,1595;1,4142;0,6821;1,4142;0,3026;0,1978;0,3149;0,2139;1,0405;1,0812;0,4646;0,3564;0,2107;0,0883;0,4536;0,2476;0,0433;0,0345;0,0182;0,0526;0,0714;1,925;0,47;0,2442;3,42;1,7144;0,5013;1,98;1,83;0;0
FRANCE - LIGUE 1;2020/2021;18/05/2021;Grenoble;Paris FC;2;0;2,7;3;2,45;2,35;H;1,74;-1;-1;-1;0,43;0,58;0,3704;0,3333;0,4082;0,4255;1,1111;0,9074;0,8167;0,7833;0,7;0;1,0593;1,0541;1,5134;1;1,9;1,2;1,1972;1,0328;0,6301;0,8607;0,4251;0,2733;0,2455;0,2925;0,5776;1,07;0,3326;0,3439;0,1745;0,152;0,5247;0,4419;0,0824;0,0526;0,0485;0,1009;0,1215;2,295;0,9032;0,3936;2,375;0,4436;0,1868;1,83;1,98;0,83;-1
ROMANIA - LIGA 1;2020/2021;05/05/2021;FC Hermannstadt;Viitorul Constanta;0;0;2,75;3;2,75;2,5;D;-1;2;-1;0,49;-1;0,49;0,3636;0,3333;0,3636;0,4;1,0909;1;0,9167;0,8333;-0,4;0,3;1,5776;2,0575;-3,9441;6,8584;0,9;0,9;1,1972;1,1972;1,3302;1,3302;0,4508;0,3733;0,3682;0,5326;0,8169;1,4267;0,2727;0,2418;0,1313;0,1642;0,4815;0,6791;0,0404;0,0435;0;0,0435;0,0909;3,775;2,021;0,5354;2,89;1,2686;0,439;1,9;1,9;0;0
ITALY - SERIE B;2020/2021;04/05/2021;Pisa;Venezia;2;2;3;3;2,5;2,1;D;-1;2;-1;0,43;-1;0,57;0,3333;0,3333;0,4;0,4762;1;0,8333;0,8333;0,7;0,7;0,3;1,3375;1,4181;1,9107;4,7271;1,7;1,4;1,1595;1,1738;0,6821;0,8384;0,4133;0,5431;0,3855;0,6142;0,9328;1,131;0,2844;0,2755;0,1472;0,1323;0,5174;0,4801;0,0884;0;0,0909;0,0909;0,1765;2,642;0,6793;0,2571;3,015;0,9101;0,3019;2,1;1,77;0;0
ROMANIA - LIGA 1;2020/2021;03/05/2021;FCSB;CFR Cluj;1;1;2,9;3;2,6;2,4;D;-1;2;-1;0,45;-1;0,53;0,3448;0,3333;0,3846;0,4167;1,0345;0,8966;0,8667;0,8;1;0,5;1,4142;1,5092;1,4142;3,0185;2,2;2,2;1,3166;1,3166;0,5984;0,5984;0,2733;0,2184;0,3189;0,1569;1,1668;0,7186;0,4181;0,4798;0,2279;0,163;0,5451;0,3397;0,062;0,0169;0,0545;0,0714;0,1111;1,623;0,4897;0,3017;1,999;0,4995;0,2499;2,02;1,77;0;0
