League;Season;Date;Home;Away;FT_Goals_H;FT_Goals_A;FT_Odd_H;FT_Odd_D;FT_Odd_A;FT_Odd_Over25;FT_Result;Profit_Back_H;Profit_Back_D;Profit_Back_A;Profit_Lay_H;Profit_Lay_D;Profit_Lay_A;p_H;p_D;p_A;p_Over;p_H__p_D;p_H__p_A;p_D__p_A;p_D__p_Over;Media_SG_H;Media_SG_A;DesvPad_SG_H;DesvPad_SG_A;CV_SG_H;CV_SG_A;Media_Ptos_H;Media_Ptos_A;DesvPad_Ptos_H;DesvPad_Ptos_A;CV_Ptos_H;CV_Ptos_A;Media_VG_H;Media_VG_A;DesvPad_VG_H;DesvPad_VG_A;CV_VG_H;CV_VG_A;Media_CG_H;Media_CG_A;DesvPad_CG_H;DesvPad_CG_A;CV_CG_H;CV_CG_A;CV_HDA;CV_HD;CV_HA;CV_DA;CV_DO;Media_Odd_H;DesvPad_Odd_H;CV_Odd_H;Media_Odd_A;DesvPad_Odd_A;CV_Odd_A;FT_Odd_HA_DNB_H;FT_Odd_HA_DNB_A;Profit_HA_0_H;Profit_HA_0_A
CROATIA - PRVA NL;2021/2022;23/04/2022;Solin;Sesvete;4;0;2,55;2,87;2,88;2,21;H;1,59;-1;-1;-1;0,46;0,46;0,3922;0,3484;0,3472;0,4525;1,1255;1,1294;1,0035;0,77;0;0;1,0541;1,7638;1;1;1,5;1;1,354;1,4142;0,9027;1,4142;0,3226;0,5721;0,318;0,4959;0,9857;0,8668;0,303;0,2213;0,1301;0,1097;0,4294;0,4958;0,0576;0,059;0,0608;0,0017;0,1299;2,588;0,5206;0,2012;2,864;0,4965;0,1734;1,8;2,01;0,8;-1
FRANCE - LIGUE 2;2021/2022;22/04/2022;Bastia;Paris FC;2;1;2,55;2,8;2,75;2,6;H;1,59;-1;-1;-1;0,47;0,49;0,3922;0,3571;0,3636;0,3846;1,098;1,0784;0,9821;0,9286;0,5;0,3;1,1785;1,567;2,357;5,2234;1,5;1,8;1,0801;1,3166;0,7201;0,7314;0,292;0,507;0,2174;0,4097;0,7445;0,8082;0,3919;0,3315;0,1464;0,1556;0,3736;0,4693;0,041;0,0467;0,0377;0,009;0,037;2,146;0,4651;0,2167;2,782;0,8402;0,302;1,8;2,05;0,8;-1
ROMANIA - LIGA 2;2021/2022;22/04/2022;Metaloglobus Bucharest;Csikszereda M. Ciuc;1;3;2,75;2,88;2,5;2,3;A;-1;-1;1,54;0,49;0,46;-1;0,3636;0,3472;0,4;0,4348;1,0473;0,9091;0,8681;0,7986;0;0,6;1,6997;2,1705;1;3,6175;1,5;1,9;1,354;1,4491;0,9027;0,7627;0,3787;0,5248;0,3386;0,2979;0,8941;0,5676;0,4279;0,2396;0,2294;0,0949;0,536;0,3962;0,0596;0,0231;0,0476;0,0706;0,112;2,224;0,847;0,3809;2,854;1,9322;0,677;2,01;1,8;-1;0,8
TURKEY - 1. LIG;2021/2022;15/04/2022;Tuzlaspor;Genclerbirligi;4;0;2,55;2,87;2,75;2,4;H;1,59;-1;-1;-1;0,46;0,49;0,3922;0,3484;0,3636;0,4167;1,1255;1,0784;0,9582;0,8362;-0,4;-0,8;1,7127;1,3984;-4,2817;-1,748;1;1;1,1547;1,4142;1,1547;1,4142;0,2541;0,4316;0,3049;0,4246;1,2;0,9838;0,3308;0,233;0,1624;0,0829;0,4908;0,3557;0,0492;0,059;0,0377;0,0214;0,0892;2,388;0,8433;0,3532;3,34;0,5248;0,1571;1,85;1,95;0,85;-1
PORTUGAL - LIGA PORTUGAL 2;2021/2022;15/04/2022;Varzim;Casa Pia;1;0;2,8;2,87;2,45;2,6;H;1,84;-1;-1;-1;0,46;0,58;0,3571;0,3484;0,4082;0,3846;1,025;0,875;0,8537;0,9059;-0,4;0,5;1,2649;1,7159;-3,1623;3,4319;1,2;1,8;1,3166;1,3166;1,0971;0,7314;0,204;0,4245;0,2492;0,2643;1,222;0,6227;0,3903;0,3451;0,1319;0,1106;0,3379;0,3205;0,071;0,0123;0,0667;0,0789;0,0494;2,445;0,3906;0,1598;2,35;0,4243;0,1805;2;1,8;1;-1
BRAZIL - SERIE A;2022;10/04/2022;Avai;America MG;1;0;3;2,87;2,7;2,87;H;2,04;-1;-1;-1;0,46;0,5;0,3333;0,3484;0,3704;0,3484;0,9567;0,9;0,9408;1;0,8;0;1,0328;1,4142;1,291;1;2,1;1,3;1,1972;1,2517;0,5701;0,9628;0,3961;0,4016;0,2675;0,3939;0,6752;0,981;0,4001;0,229;0,1451;0,0936;0,3627;0,4086;0,0434;0,0221;0,0526;0,0305;0;2,022;0,4377;0,2165;3,412;0,7373;0,2161;2;1,85;1;-1
THAILAND - THAI LEAGUE 1;2021/2022;20/03/2022;Port MTI FC;Nakhon Ratchasima FC;3;2;2,45;2,85;2,75;2,08;H;1,5;-1;-1;-1;0,46;0,49;0,4082;0,3509;0,3636;0,4808;1,1633;1,1224;0,9649;0,7298;0;-0,6;1,4907;1,3499;1;-2,2498;1,4;1;1,4298;1,1547;1,0213;1,1547;0,2152;0,5652;0,1716;0,4093;0,7971;0,7242;0,496;0,2529;0,1629;0,1059;0,3285;0,4189;0,0656;0,0755;0,0577;0,0179;0,1562;1,943;0,5828;0,3;3,706;1,4003;0,3779;1,8;2,05;0,8;-1
LITHUANIA - A LYGA;2022;15/03/2022;Hegelmann;FK Panevezys;0;1;2,55;2,8;2,7;2,1;A;-1;-1;1,74;0,55;0,47;-1;0,3922;0,3571;0,3704;0,4762;1,098;1,0588;0,9643;0,75;0,7;-0,3;1,1595;1,4944;1,6564;-4,9814;1,9;1,2;1,1972;1,3166;0,6301;1,0971;0,4582;0,239;0,3277;0,2506;0,7153;1,0486;0,366;0,3625;0,1905;0,1613;0,5205;0,445;0,0387;0,0467;0,0286;0,0182;0,1429;2,2;0,7394;0,3361;2,44;1,3368;0,5479;1,85;1,99;-1;0,99
FRANCE - LIGUE 2;2021/2022;12/03/2022;Grenoble;Rodez;0;0;2,62;2,8;3;2,87;D;-1;1,8;-1;0,53;-1;0,43;0,3817;0,3571;0,3333;0,3484;1,0687;1,145;1,0714;1,025;0,1;-0,6;1,7288;1,7764;17,2884;-2,9606;1,5;0,8;1,5811;1,2293;1,0541;1,5366;0,4436;0,3145;0,371;0,3438;0,8363;1,0933;0,3078;0,2037;0,1381;0,0613;0,4487;0,3007;0,0552;0,0332;0,0676;0,0345;0,0123;2,934;1,1136;0,3795;3,952;1,1819;0,2991;1,8;2,05;0;0
CYPRUS - FIRST DIVISION;2021/2022;12/03/2022;Aris;Paphos;2;1;2,7;2,8;2,6;2,48;H;1,74;-1;-1;-1;0,47;0,53;0,3704;0,3571;0,3846;0,4032;1,037;0,963;0,9286;0,8857;0,2;0,3;1,5492;1,2517;7,746;4,1722;1,7;1,6;1,4181;1,2649;0,8342;0,7906;0,2701;0,4604;0,2725;0,5259;1,0087;1,1422;0,3278;0,3071;0,1681;0,1761;0,5126;0,5732;0,0303;0,0182;0,0189;0,037;0,0606;2,127;0,6819;0,3206;3,108;1,1885;0,3824;2,12;1,76;1,12;-1
